経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.020, 8.6523, 95.6718, -0.6178, -0.4119, 93.87, 67.37
1.816, 8.8021, 91.1062, -0.5261, -0.4304, 93.50, 67.19
3.090, 7.6802, 92.6947, -0.5708, -0.4151, 93.09, 66.93
4.954, 8.8407, 93.3644, -0.5172, -0.3621, 93.74, 67.31
6.354, 9.2719, 96.6461, -0.6043, -0.4958, 94.29, 67.61
6.931, 7.7253, 91.1978, -0.4273, -0.4748, 92.99, 66.88
8.265, 9.2848, 97.0944, -0.5709, -0.5709, 94.35, 67.64
8.930, 8.9158, 96.0034, -0.5744, -0.4699, 94.05, 67.47
9.566, 9.1143, 93.0970, -0.4970, -0.4473, 93.86, 67.39
10.271, 9.1143, 93.7142, -0.5189, -0.4670, 93.92, 67.42
10.870, 9.1447, 89.2031, -0.4681, -0.4681, 93.49, 67.20
12.806, 9.2014, 94.2935, -0.6050, -0.4950, 94.02, 67.47
13.473, 9.1881, 94.6887, -0.5753, -0.4184, 94.05, 67.48
14.108, 9.1513, 92.1903, -0.4925, -0.4446, 93.79, 67.35
14.813, 9.1667, 93.3977, -0.5726, -0.4685, 93.91, 67.41
16.050, 8.8324, 89.0595, -0.4213, -0.3745, 93.32, 67.10
16.753, 9.2756, 89.1062, -0.5394, -0.4413, 93.54, 67.23
18.724, 9.0753, 87.1869, -0.4694, -0.4694, 93.26, 67.08
19.356, 6.6576, 88.2887, -0.5410, -0.4918, 92.15, 66.41
19.988, 9.2761, 91.5619, -0.5230, -0.4184, 93.78, 67.36
22.002, 5.0972, 93.1464, -0.6256, -0.4171, 91.84, 66.18
24.979, 8.8242, 88.6822, -0.5120, -0.3258, 93.26, 67.07
25.673, 8.7381, 88.5888, -0.5354, -0.4381, 93.22, 67.05
27.578, 9.0912, 87.5090, -0.4755, -0.4755, 93.30, 67.10
28.174, 8.3106, 90.6589, -0.5690, -0.4655, 93.21, 67.02
29.553, 8.4170, 95.4030, -0.5537, -0.6091, 93.75, 67.30
30.151, 6.4252, 94.4948, -0.6178, -0.4633, 92.65, 66.64
30.781, 9.2333, 97.3271, -0.6070, -0.3311, 94.32, 67.62
31.452, 9.1738, 96.1941, -0.5753, -0.4184, 94.19, 67.55
32.119, 9.1461, 92.6828, -0.5410, -0.4426, 93.83, 67.37
32.754, 7.2582, 91.3680, -0.4459, -0.4459, 92.77, 66.75
33.323, 7.7274, 92.9019, -0.4677, -0.5197, 93.16, 66.97
33.955, 9.2211, 98.7782, -0.6380, -0.4640, 94.47, 67.70
34.592, 8.8162, 96.8194, -0.6266, -0.4177, 94.07, 67.48
35.192, 8.4597, 95.4115, -0.5172, -0.3621, 93.76, 67.30
35.863, 9.1471, 97.7314, -0.6060, -0.4407, 94.33, 67.62
36.537, 8.9592, 93.3178, -0.5402, -0.4420, 93.80, 67.35
37.736, 9.0363, 91.1879, -0.5394, -0.3923, 93.62, 67.26
38.437, 9.1578, 92.9525, -0.5735, -0.4171, 93.86, 67.39
39.638, 8.5241, 89.1868, -0.5657, -0.3300, 93.16, 67.00
40.305, 8.2796, 89.5693, -0.5937, -0.3958, 93.08, 66.95
41.543, 9.1360, 89.6946, -0.4940, -0.3458, 93.52, 67.22
44.712, 8.8602, 89.5565, -0.4426, -0.4918, 93.39, 67.14
45.883, 9.2542, 92.1682, -0.5744, -0.4177, 93.83, 67.38
47.758, 5.3812, 93.4591, -0.6256, -0.3128, 92.01, 66.27
50.298, 6.2426, 91.6036, -0.5434, -0.4940, 92.28, 66.45
51.562, 7.9184, 95.1629, -0.4356, -0.5446, 93.49, 67.14
52.234, 6.6528, 100.2927, -0.5830, -0.5247, 93.35, 67.01
52.866, 8.6420, 94.4697, -0.4911, -0.4911, 93.77, 67.32
53.471, 8.7457, 94.7774, -0.5230, -0.4707, 93.85, 67.36
54.141, 6.3981, 96.8474, -0.5446, -0.4356, 92.87, 66.76
54.706, 9.1485, 93.1293, -0.4933, -0.4933, 93.89, 67.40
55.341, 8.6548, 99.2338, -0.7009, -0.4088, 94.22, 67.54
56.710, 7.8389, 96.8029, -0.5197, -0.5197, 93.60, 67.19
57.309, 7.5756, 93.2534, -0.4438, -0.4948, 93.12, 66.94
58.550, 9.1525, 96.5089, -0.6050, -0.4950, 94.22, 67.57
