経過時間_秒, subject_id, ref_SBP, ref_DBP, M1_A, M1_HR, M1_V2P_relTTP, M1_P2V_relTTP, M1_SBP, M1_DBP, M2_A, M2_HR, M2_V2P_relTTP, M2_P2V_relTTP, M2_Stiffness, M2_E, M2_SBP, M2_DBP, M3_A, M3_HR, M3_Mean, M3_Phi, M3_SBP, M3_DBP
20.647, subject_placeholder, , , 9.1424, 80.6154, -0.6218, -0.3997, 127.73, 97.90, 4.1450, 77.9221, -0.6218, -0.3997, 7.4006, 3.6350, 128.60, 98.00, 4.1564, 78.0234, 6.1493, 2.3493, 111.36, 83.61
24.454, subject_placeholder, , , 9.1691, 79.9853, -0.6984, -0.5238, 129.86, 95.64, 4.3439, 68.8863, -0.6984, -0.5238, 7.7439, 3.7155, 128.54, 98.99, 4.3158, 68.8863, 6.6881, 2.2898, 109.20, 82.81
27.633, subject_placeholder, , , 9.1566, 77.3626, -0.6180, -0.3296, 128.05, 96.29, 3.3132, 64.1711, -0.6180, -0.3296, 5.0936, 2.7983, 129.53, 98.58, 3.3060, 64.2398, 4.2498, 1.9565, 113.23, 83.02
28.371, subject_placeholder, , , 9.2832, 75.9220, -0.5727, -0.3689, 129.30, 96.27, 4.8030, 99.3377, -0.5727, -0.3689, 6.1327, 2.7983, 129.53, 98.58, 4.8310, 99.3377, 4.8447, 2.8722, 113.23, 83.02
29.168, subject_placeholder, , , 9.4046, 78.5194, -0.7602, -0.3577, 128.76, 94.13, 4.5476, 74.8130, -0.7602, -0.3577, 8.3757, 3.9276, 128.34, 97.63, 4.5551, 74.8130, 5.7909, 2.1920, 108.48, 81.33
29.902, subject_placeholder, , , 3.8645, 76.8668, -0.5797, -0.2898, 117.04, 95.14, 4.4024, 80.8625, -0.5797, -0.2898, 7.6409, 3.6417, 127.63, 97.35, 4.3991, 80.8625, 6.0253, 1.8895, 105.52, 79.86
30.641, subject_placeholder, , , 9.0998, 79.2304, -0.6294, -0.3597, 127.65, 97.05, 3.4601, 75.2823, -0.6294, -0.3597, 5.0996, 2.7415, 129.76, 96.68, 3.4900, 75.2823, 3.9808, 1.1467, 106.05, 78.55
31.337, subject_placeholder, , , 6.8551, 80.1450, -0.5797, -0.5338, 125.08, 97.31, 4.2218, 81.5217, -0.5797, -0.5338, 9.1230, 4.4400, 128.09, 97.44, 4.2750, 81.4111, 4.0861, 2.5385, 115.85, 84.04
32.073, subject_placeholder, , , 6.8551, 83.0655, -0.6164, -0.3793, 121.93, 98.76, 4.5335, 81.6327, -0.6164, -0.3793, 7.9788, 3.7473, 127.88, 98.92, 4.5542, 81.7439, 6.0298, 2.1035, 108.43, 81.68
32.837, subject_placeholder, , , 9.4411, 82.2864, -0.6726, -0.4035, 127.84, 97.96, 2.7407, 85.7143, -0.6726, -0.4035, 3.7521, 2.2665, 129.85, 97.20, 2.7184, 85.7143, 7.9013, 1.8777, 110.07, 85.34
33.642, subject_placeholder, , , 9.4096, 80.4203, -0.6920, -0.3460, 127.75, 96.64, 3.9292, 81.4111, -0.6920, -0.3460, 6.5452, 3.3020, 128.39, 97.65, 3.9198, 81.3008, 6.8418, 2.0390, 108.26, 82.61
35.286, subject_placeholder, , , 8.5179, 77.3156, -0.4504, -0.4504, 128.11, 99.03, 4.6499, 74.6269, -0.4504, -0.4504, 8.7681, 4.0661, 127.97, 97.25, 4.6850, 74.6269, 5.1987, 1.8947, 105.94, 79.15
36.019, subject_placeholder, , , 9.3328, 79.4155, -0.5837, -0.4939, 129.78, 97.74, 4.2435, 66.2252, -0.5837, -0.4939, 7.0213, 3.4084, 128.98, 98.33, 4.2624, 66.1521, 5.1025, 1.9208, 108.44, 80.76
36.851, subject_placeholder, , , 9.4579, 80.6170, -0.7203, -0.4052, 128.63, 96.03, 4.5126, 81.6327, -0.7203, -0.4052, 8.6037, 4.0502, 127.77, 98.64, 4.5118, 81.7439, 6.1723, 2.7655, 113.79, 84.88
37.658, subject_placeholder, , , 6.2506, 76.0813, -0.4754, -0.4358, 123.90, 97.11, 4.4576, 81.9672, -0.4754, -0.4358, 7.8287, 3.7080, 127.49, 97.82, 4.4577, 81.9672, 6.3549, 2.0846, 106.36, 80.64
38.354, subject_placeholder, , , 8.2395, 75.2998, -0.4509, -0.4099, 127.78, 97.87, 3.3201, 66.2983, -0.4509, -0.4099, 5.1771, 2.8412, 129.37, 98.07, 3.2802, 66.2983, 4.8804, 1.6836, 109.31, 81.34
39.092, subject_placeholder, , , 9.2172, 80.3312, -0.6628, -0.4735, 129.07, 96.72, 4.1355, 81.7439, -0.6628, -0.4735, 7.8544, 3.8623, 129.04, 97.98, 4.1696, 81.7439, 4.0230, 2.7945, 118.73, 85.70
39.859, subject_placeholder, , , 9.1878, 80.7587, -0.6252, -0.3572, 127.20, 98.06, 4.4065, 86.0832, -0.6252, -0.3572, 8.0188, 3.8200, 127.66, 98.36, 4.4023, 86.0832, 6.0130, 2.5898, 112.89, 84.25
42.102, subject_placeholder, , , 7.1528, 79.5253, -0.4308, -0.4308, 124.23, 100.33, 2.7440, 69.7674, -0.4308, -0.4308, 4.2138, 2.5438, 130.01, 98.24, 2.7037, 69.7674, 4.3686, 1.9739, 116.00, 85.09
43.537, subject_placeholder, , , 9.0427, 82.1649, -0.7011, -0.3272, 126.11, 97.42, 4.6001, 84.7458, -0.7011, -0.3272, 8.9030, 4.1510, 127.56, 98.78, 4.5984, 84.7458, 6.0430, 2.9064, 115.34, 85.66
44.339, subject_placeholder, , , 9.3438, 80.2011, -0.6462, -0.3446, 127.59, 97.41, 4.3044, 90.0901, -0.6462, -0.3446, 7.4579, 3.5947, 128.30, 97.06, 4.2886, 89.9550, 6.2562, 1.8765, 106.28, 80.69
45.173, subject_placeholder, , , 9.3764, 77.4134, -0.5761, -0.3703, 128.94, 97.10, 4.5402, 77.7202, -0.5761, -0.3703, 8.7243, 4.0944, 127.97, 97.38, 4.5729, 77.7202, 5.4379, 2.1056, 107.92, 80.60
46.605, subject_placeholder, , , 9.1608, 74.5314, -0.5138, -0.3557, 129.30, 96.63, 3.7623, 71.8563, -0.5138, -0.3557, 6.0458, 3.1169, 129.21, 98.20, 3.7420, 71.7703, 5.1933, 2.0959, 110.64, 82.20
47.346, subject_placeholder, , , 9.2274, 76.5292, -0.6055, -0.4325, 129.89, 95.76, 4.8351, 89.9550, -0.6055, -0.4325, 9.9295, 4.5157, 128.15, 97.69, 4.8549, 90.0901, 5.2151, 2.7031, 112.45, 82.85
49.655, subject_placeholder, , , 9.1679, 78.6362, -0.6226, -0.4003, 128.55, 96.73, 3.9679, 66.6667, -0.6226, -0.4003, 6.6078, 3.3172, 128.94, 98.63, 3.9773, 66.6667, 4.8952, 2.0241, 110.60, 81.90
50.444, subject_placeholder, , , 9.4034, 78.4310, -0.6454, -0.3872, 128.97, 96.28, 4.3102, 93.3126, -0.6454, -0.3872, 7.6126, 3.6667, 128.19, 97.79, 4.2801, 93.1677, 5.7061, 2.6149, 113.49, 84.27
51.920, subject_placeholder, , , 9.0867, 77.1206, -0.6258, -0.3338, 128.07, 95.95, 4.5101, 75.0939, -0.6258, -0.3338, 8.0095, 3.7715, 128.67, 97.76, 4.5315, 75.0939, 5.6886, 1.9506, 106.19, 79.86
52.691, subject_placeholder, , , 9.3589, 76.0938, -0.6195, -0.3717, 129.52, 95.45, 3.7384, 90.9091, -0.6195, -0.3717, 6.0224, 3.1148, 128.87, 97.14, 3.7126, 90.9091, 6.6988, 2.0296, 108.11, 82.33
54.262, subject_placeholder, , , 8.7016, 76.9477, -0.5992, -0.3852, 128.02, 96.10, 4.1593, 78.2269, -0.5992, -0.3852, 7.3110, 3.5848, 128.19, 97.24, 4.1382, 78.2269, 6.1278, 1.8465, 105.97, 80.35
55.027, subject_placeholder, , , 9.1663, 79.2733, -0.6294, -0.3597, 127.77, 97.09, 4.1809, 72.0288, -0.6294, -0.3597, 7.5779, 3.7060, 128.45, 97.65, 4.2080, 72.0288, 4.6501, 2.0468, 110.49, 81.50
55.775, subject_placeholder, , , 9.4762, 78.9019, -0.6479, -0.3887, 128.96, 96.52, 4.6252, 81.8554, -0.6479, -0.3887, 9.3442, 4.3449, 127.89, 97.53, 4.6581, 81.8554, 5.0874, 2.2807, 110.13, 81.53
56.604, subject_placeholder, , , 3.4919, 79.5525, -0.6176, -0.3971, 116.80, 95.51, 4.1418, 76.6284, -0.6176, -0.3971, 6.9859, 3.4327, 128.37, 97.61, 4.1195, 76.4331, 6.3317, 1.9285, 107.11, 81.31
57.972, subject_placeholder, , , 8.9309, 75.7471, -0.4771, -0.3181, 127.79, 98.11, 2.9362, 71.3436, -0.4771, -0.3181, 5.1457, 3.0030, 130.03, 98.12, 2.9177, 71.3436, 3.3078, 2.8391, 123.86, 88.35
59.270, subject_placeholder, , , 9.1734, 75.3244, -0.5356, -0.2884, 128.15, 96.87, 4.6528, 74.2574, -0.5356, -0.2884, 9.0624, 4.2013, 128.16, 98.93, 4.6386, 74.2574, 6.1948, 2.7660, 111.96, 83.62
59.939, subject_placeholder, , , 9.5833, 78.5569, -0.6320, -0.4063, 129.51, 96.62, 2.4002, 106.0071, -0.6320, -0.4063, 3.1724, 2.0477, 130.69, 96.50, 2.3782, 106.0071, 7.6094, 2.3711, 115.39, 88.17
