経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.016, 9.4723, 74.3560, -0.5607, -0.3604, 109.80, 81.00
0.270, 9.3504, 73.1293, -0.5540, -0.4341, 110.26, 81.11
1.081, 9.2160, 72.6188, -0.5950, -0.3954, 108.92, 79.56
2.615, 9.2259, 73.2497, -0.6096, -0.3251, 108.16, 79.04
3.350, 9.3137, 72.6341, -0.5150, -0.3962, 110.42, 81.95
4.135, 9.2472, 76.8709, -0.5837, -0.4041, 110.87, 81.51
4.857, 9.1641, 76.7495, -0.5466, -0.3793, 111.30, 82.51
5.657, 9.4085, 79.6937, -0.6381, -0.4102, 110.94, 80.89
6.426, 8.8518, 77.2259, -0.4944, -0.4120, 112.92, 84.52
7.156, 9.3165, 77.6226, -0.6008, -0.4720, 111.52, 81.55
7.998, 9.5720, 79.8950, -0.7229, -0.3621, 108.85, 78.13
8.866, 9.4382, 75.3303, -0.5879, -0.3527, 109.59, 80.52
10.334, 9.3176, 72.0940, -0.5323, -0.3422, 109.33, 80.99
11.103, 9.4628, 73.4733, -0.5768, -0.4120, 109.69, 80.41
11.906, 9.4842, 75.6323, -0.6429, -0.3857, 108.99, 79.10
12.706, 9.4842, 75.2204, -0.6172, -0.3703, 109.16, 79.65
13.573, 9.1998, 75.1100, -0.6188, -0.3713, 109.19, 79.66
17.650, 9.2311, 72.0363, -0.4948, -0.3045, 109.65, 81.97
18.425, 9.3623, 76.1946, -0.6226, -0.4003, 109.79, 80.02
19.187, 9.4514, 76.8021, -0.5535, -0.3832, 111.13, 82.24
19.919, 8.5000, 77.7591, -0.5197, -0.4331, 112.98, 84.16
20.722, 8.5000, 79.7547, -0.5402, -0.4502, 113.54, 84.36
23.394, 9.3431, 77.1552, -0.4932, -0.3288, 111.89, 84.00
24.801, 9.6322, 79.7526, -0.6809, -0.3631, 109.59, 79.33
26.367, 9.2235, 78.9824, -0.4720, -0.5593, 115.43, 86.37
28.609, 7.0243, 84.4082, -1.0967, -0.2991, 103.68, 69.08
29.273, 8.5254, 81.2550, -0.3877, -0.4739, 117.26, 89.64
29.917, 8.6678, 85.5666, -0.5467, -0.5467, 116.62, 86.70
31.245, 2.4988, 89.1393, -0.8186, -0.7163, 116.63, 82.63
32.256, 1.6883, 87.3932, -0.4243, -0.6600, 123.14, 93.95
32.851, 1.0662, 86.4832, -0.2825, -0.5649, 124.71, 97.71
33.553, 7.1469, 93.0394, -0.5537, -0.6644, 121.11, 90.31
34.221, 1.7841, 89.1605, -0.1412, -0.7061, 129.66, 103.36
34.890, 2.9463, 89.4892, -0.4446, -0.6422, 122.97, 93.62
36.828, 9.5109, 89.5875, -0.4933, -0.2466, 115.81, 88.23
39.970, 6.5928, 96.9512, -0.4067, -0.6391, 125.35, 96.30
40.537, 6.0800, 103.6388, -0.4286, -0.5510, 126.78, 97.93
41.103, 5.3809, 104.6268, -0.5229, -0.5810, 125.92, 95.81
41.708, 8.4100, 105.4049, -0.6425, -0.4673, 121.76, 90.95
42.306, 9.3118, 102.1943, -0.6000, -0.3818, 120.14, 90.36
42.879, 3.4968, 101.1705, -0.6611, -0.7713, 124.54, 91.80
43.681, 2.0281, 102.9108, -0.2880, -0.8063, 133.16, 104.41
47.655, 4.9667, 110.3926, -0.6548, -0.6548, 126.55, 94.43
49.794, 7.1040, 108.3507, -0.4096, -0.6436, 129.60, 100.32
50.457, 8.8488, 103.8280, -0.5465, -0.6030, 124.24, 93.71
51.761, 7.1623, 96.7837, -0.5483, -0.4970, 120.93, 91.14
52.330, 7.1623, 98.5271, -0.6070, -0.3863, 119.34, 89.53
52.939, 8.6013, 101.8702, -0.6960, -0.3480, 118.07, 87.43
53.496, 3.5784, 100.2519, -0.6513, -0.7056, 123.66, 91.43
55.506, 3.5226, 103.8518, -0.4722, -0.4147, 125.47, 96.96
56.151, 3.5359, 99.0306, -0.5726, -0.8328, 126.02, 93.93
59.084, 2.7612, 96.0097, -0.3075, -0.5637, 127.35, 99.93
59.647, 2.7794, 100.0053, -0.4017, -0.6313, 127.81, 98.85
