経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.016, 4.7455, 71.8563, 5.2897, 2.1455, 106.81, 79.59
0.270, 4.7455, 71.8563, 5.2897, 2.1455, 106.81, 79.59
1.081, 4.7104, 71.7703, 5.6844, 2.3509, 108.05, 80.71
2.615, 4.5410, 74.2574, 5.8373, 1.9925, 105.33, 79.38
3.350, 4.4704, 86.0832, 5.8388, 2.1269, 106.67, 80.17
4.135, 4.6400, 71.7703, 5.8242, 2.1552, 107.36, 80.62
4.857, 4.2038, 81.7439, 6.3501, 2.1785, 108.34, 81.92
5.657, 4.6197, 78.1250, 5.6786, 2.3751, 110.39, 82.33
6.426, 3.8846, 81.4111, 6.2859, 1.9722, 107.88, 81.74
7.156, 4.2710, 75.0000, 4.2994, 2.3128, 112.83, 82.42
7.998, 4.4261, 77.0218, 5.9102, 2.5355, 112.25, 83.74
8.866, 4.1848, 82.3045, 6.2782, 1.8661, 105.33, 80.06
10.334, 3.9162, 69.1244, 4.2969, 2.2204, 111.95, 81.89
11.103, 4.8313, 89.0208, 4.8782, 2.6713, 112.03, 82.17
11.906, 4.6504, 74.4417, 5.8017, 2.2602, 108.01, 80.93
12.706, 4.4526, 78.8436, 6.0114, 2.0200, 106.12, 80.12
13.573, 4.7004, 74.4417, 4.9432, 2.1555, 108.12, 80.08
17.650, 3.0706, 88.8889, 7.1410, 2.2807, 111.09, 84.68
18.425, 4.3907, 89.9550, 5.7877, 2.2269, 108.85, 81.54
19.187, 4.4729, 81.6327, 5.2741, 2.1159, 108.50, 80.79
19.919, 4.6143, 78.5340, 5.0601, 2.2483, 109.76, 81.27
20.722, 3.9740, 77.9221, 5.2298, 2.1524, 111.52, 82.81
23.394, 3.9588, 88.4956, 6.5077, 2.7669, 114.48, 85.76
24.801, 4.5856, 80.8625, 5.5825, 2.4943, 111.77, 83.05
26.367, 2.1155, 78.1250, 2.5759, 1.6629, 118.13, 84.73
28.609, 3.7323, 69.1244, 4.5159, 2.1331, 114.56, 84.10
29.273, 1.3299, 99.6678, 1.8603, 1.7618, 114.56, 84.10
29.917, 3.9375, 77.8210, 4.0822, 2.8769, 121.56, 87.67
31.245, 3.5213, 94.3396, 6.8473, 2.4242, 115.44, 87.24
32.256, 2.8337, 93.7500, 2.9125, 1.1755, 112.53, 81.77
32.851, 0.8531, 85.5920, 1.1605, 0.5365, 116.75, 83.28
33.553, 0.5734, 59.9401, 0.9953, 1.1799, 116.75, 83.28
34.221, 3.2660, 100.5025, 3.2946, 3.4910, 131.85, 93.25
34.890, 0.7535, 71.5990, 1.6529, 2.8569, 131.85, 93.25
36.828, 0.7193, 106.3830, 9.0175, 2.4974, 123.27, 95.26
39.970, 4.5547, 86.4553, 5.5808, 2.5496, 123.15, 90.10
40.537, 2.7850, 80.6452, 4.4742, 2.6640, 123.15, 90.10
41.103, 4.4025, 113.6364, 5.0788, 3.3405, 127.19, 92.35
41.708, 3.6086, 104.7120, 6.7474, 3.0597, 125.12, 93.23
42.306, 2.4717, 106.7616, 7.3437, 2.7714, 125.01, 94.18
42.879, 3.7436, 98.8468, 5.8838, 2.5646, 120.43, 89.43
43.681, 2.2325, 99.8336, 2.7159, 1.8267, 124.92, 89.52
47.655, 4.0065, 93.3126, 6.4571, 2.4418, 119.69, 89.76
49.794, 2.8548, 71.6846, 3.4253, 2.7413, 134.03, 94.76
50.457, 3.3442, 86.2069, 4.1056, 3.0095, 129.52, 93.15
51.761, 3.9292, 90.2256, 6.5173, 2.7469, 119.28, 89.19
52.330, 3.5380, 84.7458, 6.9167, 2.4617, 117.94, 89.05
52.939, 3.1381, 100.1669, 7.0046, 2.5675, 121.10, 91.26
53.496, 3.4586, 105.8201, 6.0213, 2.3533, 119.12, 88.91
55.506, 1.2129, 106.1947, 2.2481, 1.9140, 130.54, 92.78
56.151, 3.4708, 67.1892, 3.6728, 2.4578, 130.54, 92.78
59.084, 0.2524, 113.8520, 1.4451, 1.5764, 120.27, 86.15
59.647, 5.0151, 81.7439, 4.8972, 3.1375, 122.17, 88.83
